year,month,date,time,temperature,relativehumidity,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed,power
2019,1,1,0,23.1,71,0,0,0,17,0
2019,1,1,1,22.9,72,0,0,0,16,0
2019,1,1,2,22.7,73,0,0,0,14.5,0
2019,1,1,3,22.4,75,0,0,0,13.6,0
2019,1,1,4,22.2,76,0,0,0,14.1,0
2019,1,1,5,21.9,78,0,0,0,14.4,0
2019,1,1,6,21.8,79,0,0,0,14.8,0
2019,1,1,7,21.9,79,27,26,0,15.2,26.82554355
2019,1,1,8,22.8,75,105,105,295.1,16.2,101.5930125
2019,1,1,9,23.8,68,280,149,443.4,17.7,263.810848
2019,1,1,10,24.4,60,285,217,495.1,18.4,265.73001
2019,1,1,11,24.9,58,362,263,442.2,19.3,331.8610746
2019,1,1,12,25.5,56,415,278,481.9,19.3,372.34713
2019,1,1,13,25.8,55,589,186,616.9,19.6,522.682134
2019,1,1,14,25.9,54,638,116,819.9,20.6,564.6867182
2019,1,1,15,25.8,54,496,101,871,20.7,440.8729728
2019,1,1,16,25.4,55,298,86,786.1,21.7,268.930994
2019,1,1,17,24.7,58,96,58,604.3,20.2,88.7260704
2019,1,1,18,24.1,60,3,6,92.4,19.6,2.830737
2019,1,1,19,23.7,61,0,0,0,19.6,0
2019,1,1,20,23.4,63,0,0,0,18.8,0
2019,1,1,21,23.1,65,0,0,0,17.8,0
2019,1,1,22,22.9,66,0,0,0,16.5,0
2019,1,1,23,22.7,68,0,0,0,15.6,0
2019,1,2,0,22.6,68,0,0,0,14.8,0
2019,1,2,1,22.4,70,0,0,0,14,0
2019,1,2,2,22.2,71,0,0,0,13.9,0
2019,1,2,3,22.1,73,0,0,0,13.4,0
2019,1,2,4,22.1,75,0,0,0,13.5,0
2019,1,2,5,22.1,76,0,0,0,12.8,0
2019,1,2,6,22.2,75,0,0,0,12.3,0
2019,1,2,7,22.4,75,8,25,0,12.6,7.85686
2019,1,2,8,23,74,40,101,98.7,13.3,38.47592
2019,1,2,9,23.8,70,134,151,195.1,14.1,125.830556
2019,1,2,10,24.7,65,166,261,261.9,16.6,151.6577245
2019,1,2,11,25.4,60,182,312,238.9,17.1,162.903832
2019,1,2,12,26.1,58,261,326,266.9,17.3,227.5459857
2019,1,2,13,26.4,56,450,245,438.1,17.1,388.53972
2019,1,2,14,26.6,55,486,189,627.2,16.1,416.653632
2019,1,2,15,26.5,56,377,138,654.7,13.7,324.094082
2019,1,2,16,26.3,56,289,88,669.5,15.6,250.6142108
